Téléchargé sur lestransactions.fr sous Licence CC-BY-NC-SA
ISIN;Société;Déclarant;Date;Nature;Instrument;Prix;Volume;Total;Total en part de la capitalisation (x%);Monnaie;pdf
FR0011858190;REALITES;REALITES , Directeur Général;2016-12-12;Acquisition;Action;8.71;3850;33533;0.134134;Euros;http://www.amf-france.org/technique/multimedia?docId=dee814d5-f06a-4bd5-870e-be002a708baf&famille=BDIF&bdifId=577064DD7102_2017DD460775
FR0000053142;FAIVELEY TRANSPORT;"Lilian Leroux, Président Brakes &amp; Safety";2016-12-28;Cession;Option de souscription;100.0;3882;388200;0.026265223274695534;Euros;http://www.amf-france.org/technique/multimedia?docId=7c7d6cd4-23da-4dcc-a05e-2c50d75ce633&famille=BDIF&bdifId=277064DD7102_2017DD460772
FR0000053142;FAIVELEY TRANSPORT;"Lilian Leroux, Président Brakes &amp; Safety";1921-12-28;Exercice;Option de souscription;54.91;3882;213160;0.014422234100135317;Euros;http://www.amf-france.org/technique/multimedia?docId=ef0ebaf0-c18e-4415-a965-8c92d18b7dfd&famille=BDIF&bdifId=177064DD7102_2017DD460771
FR0000052292;HERMES INTERNATIONAL;Sagaie Société Civile personne morale liée à Frédéric Dumas, Membre du Conseil de Gérance d'Emile Hermès Sarl, associée;2016-12-27;Acquisition;Action;382.3;3000;1146900;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=13d7f0b2-a3c0-4062-b726-d9c3ab1d1a44&famille=BDIF&bdifId=077064DD7102_2017DD460770
FR0010377127;DIETSWELL;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2016-12-29;Cession;Action;0.93;155;144;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=abcfc811-6a25-4a27-9b32-949de2d7d66e&famille=BDIF&bdifId=767064DD7102_2017DD460767
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2016-12-29;Cession;Action;6.2504;7658;47865;0.09385404549019606;Euros;http://www.amf-france.org/technique/multimedia?docId=3f951459-7813-4acb-bd8c-5ff0e9a15b07&famille=BDIF&bdifId=667064DD7102_2017DD460766
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2016-12-29;Cession;Action;28.7823;542;15600;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=4c901347-be63-4f10-b765-858278d3dc89&famille=BDIF&bdifId=567064DD7102_2017DD460765
FR0010221234;EUTELSAT COMMUNICATIONS;Edouard SILVERIO, Secretaire Général;2017-01-02;Acquisition;Action;18.4;108;1987;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d2ab8418-d672-4584-993a-0e1fcc296257&famille=BDIF&bdifId=467064DD7102_2017DD460764
FR0010313833;ARKEMA;Thierry Le Hénaff, Président-directeur général;2016-12-28;Cession;Action;93.9316;4675;439130;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=826516e4-a443-481c-ac2e-1fabd5661dcf&famille=BDIF&bdifId=267064DD7102_2017DD460762
FR0010667147;COFACE SA;Xavier DURAND, Directeur général;2016-12-30;Acquisition;Action;6.22;500;3110;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=ee5f6f6a-e2a5-4c79-8363-d27ff44955c9&famille=BDIF&bdifId=637064DD6102_2016DD460736
FR0000120644;DANONE;Emmanuel FABER, Directeur Général;2016-12-28;Acquisition;Action;59.1775;2535;150014;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=cd237a19-ee04-41df-84f8-c4dcb5407a55&famille=BDIF&bdifId=027064DD6102_2016DD460720
FR0004165801;LES HOTELS DE PARIS;CAPINVEST SERVICES LIMITED , PDG;2016-12-30;Cession;Action;2.0;753000;1506000;11.584615384615384;Euros;http://www.amf-france.org/technique/multimedia?docId=ec95a1ed-3527-4c59-92b4-5a16eb2b281d&famille=BDIF&bdifId=869064DD7102_2017DD460968
FR0000121204;WENDEL;Fabienne Porquier, membre du Conseil de surveillance;2016-12-29;Cession;Action;114.6;500;57300;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=4863c6e8-d355-4ca5-83b9-3d89db30e3d8&famille=BDIF&bdifId=469064DD7102_2017DD460964
FR0000120271;TOTAL S.A.;NAMITA SHAH, Membre du Comité exécutif;2016-12-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";49.284;66;3252;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b7a62282-a69e-4da1-b0a3-c46613cc434e&famille=BDIF&bdifId=269064DD7102_2017DD460962
FR0000120271;TOTAL S.A.;ARNAUD BREUILLAC, Membre du Comité exécutif;2016-12-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";49.284;39;1951;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7c30a296-2a97-4c34-98e0-d52b61ed66f1&famille=BDIF&bdifId=169064DD7102_2017DD460961
FR0000120271;TOTAL S.A.;PHILIPPE SAUQUET, Membre du Comité exécutif;2016-12-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";49.284;32;1625;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6289ea24-3638-424d-a850-f3456d58aef0&famille=BDIF&bdifId=069064DD7102_2017DD460960
FR0000121121;EURAZEO;Philippe Audouin, Membre du Directoire;2016-12-29;Exercice;Option d'achat;22.33;2220;49572;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=9a34dd03-a5a6-46aa-b20f-4175062f55a0&famille=BDIF&bdifId=159064DD7102_2017DD460951
FR0000121121;EURAZEO;Virginie Morgon, Directeur Général;2016-12-29;Exercice;Option d'achat;28.62;15338;438973;0.010825488532675709;Euros;http://www.amf-france.org/technique/multimedia?docId=8c82affe-b4c2-4e44-8caf-f9910b439dce&famille=BDIF&bdifId=059064DD7102_2017DD460950
FR0000121121;EURAZEO;Patrick Sayer, Président du Directoire;2016-12-29;Exercice;Option d'achat;22.330000000000002;23458;523817;0.012917808631319359;Euros;http://www.amf-france.org/technique/multimedia?docId=6f63706b-a850-426c-9768-80a5225504fc&famille=BDIF&bdifId=749064DD7102_2017DD460947
FR0004175099;TRONIC'S MICROSYSTEMS S.A.;SERCEL HOLDING SAS, membre du conseil de surveillance;2016-12-14;Cession;Action;13.2;320727;4233596;8.819992499999998;Euros;http://www.amf-france.org/technique/multimedia?docId=06c8c43e-bad9-4236-a23a-e1e620cb6af9&famille=BDIF&bdifId=739064DD7102_2017DD460937
FR0000053142;FAIVELEY TRANSPORT;Pauline RAVIT personne liée à Olivier RAVIT, Fille;2016-12-08;Cession;Action;100.0;120;12000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=3756f4b7-71ec-40f0-8da0-6ed9d24d2b15&famille=BDIF&bdifId=929064DD7102_2017DD460929
FR0000053142;FAIVELEY TRANSPORT;"Olivier RAVIT, Energy &amp; Comfort Group President";2017-01-02;Cession;Options de souscription;100.0;1000;100000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=0cb733c2-2065-4407-b366-fb5c171c9f1b&famille=BDIF&bdifId=829064DD7102_2017DD460928
FR0004027068;LANSON-BCC;FIAG HOLDING sas, administrateur;2016-12-30;Acquisition;Action;33.77;43268;1461187;0.6113754711297072;Euros;http://www.amf-france.org/technique/multimedia?docId=a289d55b-2273-4add-87c9-a0116c7f4cd1&famille=BDIF&bdifId=529064DD7102_2017DD460925
FR0004027068;LANSON-BCC;FIAG HOLDING sas, adminitrateur;2016-12-29;Acquisition;Action;33.7658;58549;1976984;0.827190047456067;Euros;http://www.amf-france.org/technique/multimedia?docId=f843abe6-121b-4298-a94b-c0cdba63810c&famille=BDIF&bdifId=129064DD7102_2017DD460921
